line,stationname,stationcode
LINE 3,New Ashok(NAN) ,NAGR
LINE 3,Mayur Vihar Extn(MVPE),MVPE
LINE 3,Mayur Vihar Ph-I(MVP-I),MVP1
LINE 3,AkshardhLINE AAm(ADHM) ,ASDM
LINE 3,Yamauna Bank (YB) ,YB
LINE 3,INDRAPRASTHA,IDPT
LINE 3,PRAGATI MAIDAN,PTMD
LINE 3,Mandi House(MDHS),MDHS
LINE 3,Barakhambha,BRKR
LINE 3,Rajeev Chowk,RCK
LINE 3,R.K.Ashram,RKAM
LINE 3,Jhandewalan,JW
LINE 3,Karol Bagh,KB
LINE 3,Rajender Place,RP
LINE 3,Patel Nagar,PN
LINE 3,Shadipur,SP
LINE 3,Kirti Nagar,KNR.
LINE 3,Moti Nagar,MN
LINE 3,Ramesh Nagar,RN
LINE 3,Rajouri Garden,RG
LINE 3,Tagore Garden,TG
LINE 3,Subhash Nagar,SN
LINE 3,Tilak Nagar,TN
LINE 3,Janak Puri East,JPE
LINE 3,Janak Puri West,JPW
LINE 3,Uttam Nagar East,UNE
LINE 3,Uttam Nagar West,UNW
LINE 3,Nawada,NWD
LINE 3,Dwarka Mor,DM
LINE 3,Dwarka,DW
LINE 3,Sec-14/Dwarka,DSFN
LINE 3,Sec-13/Dwarka,DSTN
LINE 3,Sec-12/Dwarka,DSW
LINE 3,Sec-11/Dwarka 1,DSE
LINE 3,Sec-11/Dwarka 2,DSE
LINE 3,Sec-10/Dwarka,DST
LINE 3,Sec-9/Dwarka,DSN
LINE 3,Sec-8/Dwarka,DWET
LINE 4,Sec-21/Dwarka,DWTO
LINE 4,Vaishali,VASI
LINE 4,Kaushmbi,KSHI
LINE 4,Anand Vihar ISBT(AVIT),AVIT
LINE 4,Karkardooma(KKDA),KKDA
LINE 4,Preet Vihar(PTVR),PTVR
LINE 4,Nirman Vihar(NV),NV
LINE 4,Laxmi Nagar(LN),LN
LINE 5,Yamauna Bank (YB) ,YB
LINE 5,Inderlok,ILOK L-5
LINE 5,Kirti Nagar,KNR L-5
LINE 5,Satguru Ram Singh Marg,SRSM
LINE 5,Ashok Park Main,APMN
LINE 5,Punjabi Bagh,PBGA
LINE 5,Madipur,MAPR
LINE 5,Shivaji Park,SHVP
LINE 5,Paschim Vihar East,PVE
LINE 5,Paschim Vihar West,PVW
LINE 5,Piragarhi Station,PAGI
LINE 5,Udyog Nagar,UNRG
LINE 5,Surajmal Stadium,SMSM
LINE 5,Nangloi,NNOI
LINE 5,Nangloi Railway Station,NRSN
LINE 5,Rajdhani Park,RDPK
LINE 5,Mundka,MUDK
LINE 5,City Park,"CIPK
"
LINE 5,Bus Stand,"BUSS
"
LINE 5,Modern Industrial Estate,"MIEE
"
LINE 5,Tikri Border,"TKBR
"
LINE 5,Tikri Kalan,"TKLN
"
LINE 5,Ghevra Metro Station,"GHEM
"
LINE 6,Mundka Industrial Area,"MILINE AA
"
LINE 6,KASHMERE GATE,KG
LINE 6,LAL QUILA,LLQA
LINE 6,JAMA MASJID,JAMD
LINE 6,DELHI GATE,DLIG
LINE 6,ITO,ITO
LINE 6,Mandi House(MDHS),MDHS
LINE 6,Janpath,JNPH
LINE 6,Central Secretraiat,CTST-N
LINE 6,Khan Market,KM
LINE 6,JLN Stadium,JLNS
LINE 6,Jungpura,JGPA
LINE 6,Lajpat Nagar,LJPN
LINE 6,Moolchand,MLCD
LINE 6,Kailash Colony,KHCY
LINE 6,Nehru Place,NP
LINE 6,Kalkaji,KJMD
LINE 6,Govind Puri,GDPI
LINE 6,Okhla,OK
LINE 6,Jasola,JLA
LINE 6,Sarita Vihar,STVR
LINE 6,Mohan Estate,METE
LINE 6,Tughlakabad,TKBD
LINE 6,Badarpur,BAPU
LINE 6,SARAI,SRAI
LINE 6,NHPC CHOWK,NHPC
LINE 6,MEWALA MAHARAJPUR,MMJR
LINE 6,SECTOR 28,STTA
LINE 6,BADKAL MOR,BKMR
LINE 6,OLD FARIDABAD,OFDB
LINE 6,NEELAM CHOWK AJRONDA,NCAJ
LINE 6,BATA CHOWK,BACH
LINE 7,ESCORT MUJESAR,ECMJ
LINE 7,Majlis Park ,MKPR
LINE 7,AZADPUR,AZU
LINE 7,SHALIMARBAGH ,SMBG
LINE 7,NETAJI SUBHASH PLACE,NSHP
LINE 7,SAKURPUR,SAKP
LINE 7,PANJABI BAGH WEST,PVGW
LINE 7,ESI HOSPITAL,ESIH
LINE 7,RAJOURI GARDEN,RG
LINE 7,MAYAPURI,MYPI
LINE 7,NARAINA VIHAR,NAVR
LINE 7,DELHI CANT,DLIC
LINE 7,Durgabai Deshmukh South Campus ,DDSC
LINE 7,Sir Vishweshwaraiah Moti Bagh ,SVMB
LINE 7,BHIKAJI KAMA PLACE,BKCP
LINE 7,SAROJANI NAGAR,SOJI
LINE 7,INA,INA
LINE 7,SOUTH EXTN,SOEN
LINE 7,LAJPAT NAGAR,LJPN
LINE 7,VINOBA PURI,VNPR
LINE 7,ASHRAM,AHRM
LINE 7,HAZRAT NIZAMUDDIN,NIZM
LINE 7,MAYUR VIHAR  PHASE-I,MVPI
LINE 7,MAYUR VIHAR PKT-1,MVPO
LINE 7,TRILOK PURI,TKPR
LINE 7,VINOD NAGAR EAST,VENT
LINE 7,VINOD NAGAR ,VNNR
LINE 7,I. P. EXTENSION,IPE
LINE 7,ANAND VIHAR,AVIT
LINE 7,KARKARDUMA,KKDA
LINE 7,Karkarduma Court,KKDC
LINE 7,KRISHNA NAGAR,KHNA
LINE 7,EAST AZAD NAGAR,EANR
LINE 7,WELCOME,WC
LINE 7,JAFARABAD,JFRB
LINE 7,MAUJPUR,MUPR
LINE 7,GOKUL PURI,GKPR
LINE 7,Johri Enclave,JIEE
LINE 8,Shiv Vihar,SVVR
LINE 8,JANAKPURI WEST,JPW
LINE 8,DABRI MOR,DBMR
LINE 8,DHARSTH PURI,DSHP
LINE 8,PALAM,PALM
LINE 8,SADAR BAZAR,SABR
LINE 8,I.G.D. AIRPORT,IGDA
LINE 8,SHANKAR VIHAR,SKVR
LINE 8,VASANT VIHAR,VTVR
LINE 8,MUNIRKA,MIRK
LINE 8,R.K. PURAM,RKPM
LINE 8,IIT,IIT
LINE 8,HAUZ KHAS,HKS
LINE 8,PANCHSEEL PARK,PSPK
LINE 8,CHIRAG DELHI,CDLI
LINE 8,Greater Kailash,GKEI
LINE 8,NEHRU PLACE,NUEE
LINE 8,KALKA JI,KJMD
LINE 8,Okhla NSIC (OKHALA PHASE-III),OKNS
LINE 8,Sukhdev Vihar,IWNR
LINE 8,Jamia Millia Islamia ,JANR
LINE 8,OKHLA VIHAR,OVA
LINE 8,Jasola Vihar Shaheen Bagh ,JLA
LINE 8,KALINDI KUNJ,KIKJ
LINE 8,OKHLA BIRD SANCTUARY,OBC
LINE AA,BOTANICAL GARDEN,BCGN
LINE AA,New Delhi ,NDRU
LINE AA,ShivaJi Stadium ,SJSU  
LINE AA,Dhaula Kuan ,DKV
LINE AA,Delhi AeroCity ,DACY
LINE AA,Airport ,APOT
LINE AA,Dwarka Sec-21 ,DSTO

